movie_name,ranking,score,score_num
肖申克的救赎,1,9.6,926943
霸王别姬,2,9.5,669445
这个杀手不太冷,3,9.4,879337
阿甘正传,4,9.4,747935
美丽人生,5,9.5,436779
千与千寻,6,9.2,698051
辛德勒的名单,7,9.4,401099
泰坦尼克号,8,9.2,687994
盗梦空间,9,9.3,796303
机器人总动员,10,9.3,520925
海上钢琴师,11,9.2,621837
三傻大闹宝莱坞,12,9.1,705876
忠犬八公的故事,13,9.2,481043
放牛班的春天,14,9.2,474433
大话西游之大圣娶亲,15,9.2,513274
教父,16,9.2,359190
龙猫,17,9.1,437691
楚门的世界,18,9.1,481689
乱世佳人,19,9.2,281540
熔炉,20,9.2,279368
触不可及,21,9.1,383111
天堂电影院,22,9.1,320642
当幸福来敲门,23,8.9,562665
无间道,24,9.0,419666
星际穿越,25,9.1,509454
